Project_name,Species,Side_landmarked,Landmarker,Specimen_number,Clade,Skull_length_mm,Postrostral_skull_length_mm,Skull_width_mm,Skull_height_mm
Casuarius_casuarius_NHMUK_1939.12.9.964,Casuarius_casuarius,left,Ethan,NHMUK_1939.12.9.964,Aves,204,72.2,NA,NA
Cathartes_sp_NMS_Unregistered,Cathartes_sp,left,Ethan,NMS_Unregistered,Aves,NA,34.5984,34.2299,28.3118
Chelodina_oblonga_NHMUK64.12.22_left,Chelodina_oblonga,left,Serjoscha,NHMUK64.12.22,Testudinata,51.7,47.9,30.82,10.6
Chelonia_mydas_NHMUK1969.776_left,Chelonia_mydas,left,Serjoscha,NHMUK1969.776,Testudinata,159.51,131.7,113.43,80.83
Chelus_fimbriatus_NHMUK81.9.27.4_left,Chelus_fimbriatus,left,Serjoscha,NHMUK81.9.27.4,Testudinata,98.47,88.4,104.1,20.56
Chelydra_serpentina_UFR_VP1_left,Chelydra_serpentina,left,Serjoscha,UFR_VP1,Testudinata,83,76,86,38
Chitra_chitra_NHMUK1936.12.16.1_right,Chitra_chitra,right,Serjoscha,NHMUK1936.12.16.1,Testudinata,89.14,83,53.76,21.34
Chlamydophorus_truncatus_NHMUK_ZD_1911.9.6.1,Chlamydophorus_truncatus,right,Catherine,NHMUK_ZD_1911.9.6,Mammalia,33.6,21.9,21.3,14
Chrysemys_picta_NHMUK76.1.31.19_left,Chrysemys_picta,left,Serjoscha,NHMUK76.1.31.19,Testudinata,46.91,40.2,38.07,18.94
Chrysochloris_asiatica_UMZC_E5472F,Chrysochloris_asiatica,right,Catherine,UMZC_E5472F,Mammalia,23,14.2,18.3,10.4
Ciconia_ciconia_NHMUK_S1959.9.6.393,Ciconia_ciconia,left,Ethan,NHMUK_S_1952.1.103,Aves,230,56.2,35.9276,30.3294
Ciconia_nigra_NHMUK_S1952.1.103,Ciconia_nigra,left,Ethan,NHMUK_S/1952.1.103,Aves,232,47.1182,39.7061,32.7746
Circus_cyaneus_NMS_Z.1995.188,Circus_cyaneus,left,Ethan,NMS_Z.1995.188,Aves,53.8,31.9,33.2,25.2
Claudius_angustatus_SMNS14380_left,Claudius_angustatus,left,Serjoscha,SMNS14380,Testudinata,49.54,40.2,40.54,17.18
Clemmys_guttata_FMNH22114_left,Clemmys_guttata,left,Serjoscha,FMNH22114,Testudinata,24.26,20.2,15.69,8.53
Columba_livia_NMS_Unregistered,Columba_livia,left,Ethan,NMS_Unregistered,Aves,47.1233,24.4629,20.047,18.7184
Coracias_garrulous_NMS_Z.1994.44,Coracias_garrulous,left,Ethan,NMS_Z.1994.44,Aves,53742.9,22089.3,11464.3,18319.9
Corvus_corax_NHMUK_S1979.66.160,Corvus_corax,left,Ethan,NHMUK_S1979.66.160,Aves,121.24,45.2264,48.3628,34.9547
Coturnix_coturnix_NMS_Z.1931.43,Coturnix_coturnix,left,Ethan,NMS_Z.1931.43 ,Aves,34262.3,19164.1,15216.3,13993.3
Creagus_furcatus_NHMUK_S1967.19.6,Creagus_furcatus,left,Ethan,NHMUK_S_1967.19.6,Aves,116.15,47.73,29.7099,25.1914
Crocodylus_acutus_FMNH_59071_left,Crocodylus_acutus,left,Serjoscha,FMNH_59071,Crocodylia,619,225,NA,NA
Crocodylus_intermedius_FMNH_75662_left,Crocodylus_intermedius,left,Serjoscha,FMNH_75662,Crocodylia,552,200,NA,NA
Crocodylus_johnstoni_OUVC_10425_left,Crocodylus_johnstoni,left,Serjoscha,OUVC_10425,Crocodylia,302,92.5,NA,NA
Crocodylus_moreletii_TMM_M_4980_left,Crocodylus_moreletii,left,Serjoscha,TMM_M_4980,Crocodylia,271,101,NA,NA
Crocodylus_porosus_OUVC_10899_left,Crocodylus_porosus,left,Serjoscha,OUVC_10899,Crocodylia,88.8,39.4,NA,NA
Crypturellus_tataupa_UMMZ_201948,Crypturellus_tataupa,left,Emma,UMMZ_201948,Aves,47290.1,21848.5,16362.9,15880.7
Cuculus_canorus_NMS_Unregistered,Cuculus_canorus,left,Ethan,NMS_Unregistered,Aves,49237,20899.4,19011.9,17463.6
Cuora_amboinensis_NHMUK69.42.145_left,Cuora_amboinensis,left,Serjoscha,NHMUK69.42.145,Testudinata,34.77,29.5,22.08,10.8
Cuora_flavomarginata_FMNH21515_left,Cuora_flavomarginata,left,Serjoscha,FMNH21515,Testudinata,33.26,27.8,21.74,10.18
Cyclanorbis_senegalensis_NHMUK65.5.9.21_right,Cyclanorbis_senegalensis,right,Serjoscha,NHMUK65.5.9.21,Testudinata,70.12,61.1,46.43,17.81
Cyclemys_dentata_NHMUK97.11.22.3_left,Cyclemys_dentata,left,Serjoscha,NHMUK97.11.22.3,Testudinata,33.11,29.3,23.99,11.35
Cycloderma_frenatum_NHMUK84.2.4.1_left,Cycloderma_frenatum,left,Serjoscha,NHMUK84.2.4.1,Testudinata,140.03,131.5,87.29,36.18
Cyclothurus_didactlylus_UMZC_E.621,Cyclothurus_didactlylus,right,Catherine,NHMUK_UMZC_01,Mammalia,47.3,33.3,21.5,13.5
Cynocephalus_volans_OUMNH_3404,Cynocephalus_volans,right,Catherine,OUMNH_3404,Mammalia,66.3,44.1,29.2,17.7
Deirochelys_reticularia_FMNH98754_left,Deirochelys_reticularia,left,Serjoscha,FMNH98754,Testudinata,41.08,36.3,24.33,10.8
Dermatemys_mawii_SMF59463_left,Dermatemys_mawii,left,Serjoscha,SMF59463,Testudinata,94.91,75.9,71.61,32.35
Dermochelys_coriacea_FMNH171756_left,Dermochelys_coriacea,left,Serjoscha,FMNH171756,Testudinata,230,210.4,246,137.2
Dicrurus_paradiseus_NHMUK_S1969.1.163,Dicrurus_paradiseus,left,Ethan,NHMUK_S1969.1.163,Aves,56.62,22.9551,23.0092,17.5776
